City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,North Las Vegas,US,49.42,36.1989,-115.1175,Lucky Club Hotel & Casino
12,Ushuaia,AR,47.86,-54.8,-68.3,Albatross Hotel
17,Punta Arenas,CL,53.71,-53.15,-70.9167,Hotel Hain
26,Ankang,CN,51.48,32.68,109.0172,安琪酒店
37,Polis,CY,53.42,35.0367,32.4264,Marion
38,Fortuna,US,47.19,40.5982,-124.1573,Super 8 by Wyndham Fortuna
42,Saint Paul Harbor,US,42.31,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
43,Haifa,IL,53.2,32.8156,34.9892,Dan Panorama Haifa Hotel
55,Marsá Maţrūḩ,EG,57.4,31.3525,27.2453,Beau Site
58,Los Llanos de Aridane,ES,58.75,28.6585,-17.9182,Valle Aridane
80,Katsuura,JP,48.31,35.1333,140.3,Katsuura Hotel Mikazuki
82,Northam,GB,45.61,51.0333,-4.2167,Durrant House Hotel
96,Giulianova,IT,50.99,42.7612,13.9537,Hotel Smeraldo
98,Seoul,KR,47.71,37.5683,126.9778,롯데호텔 서울
99,Cleethorpes,GB,41.97,53.5605,-0.0323,Comat Hotel
124,Talcahuano,CL,58.68,-36.7167,-73.1167,departamento comodo
125,Agadez,NE,56.73,19.75,10.25,
168,Jalu,LY,56.1,29.0331,21.5482,صاحبة الفخامة
171,Fiumicino,IT,51.78,41.7675,12.2291,Al Porticciolo Hotel
172,Constitución,CL,57.63,-35.3333,-72.4167,Hotel Boutique Las Azucenas
177,Saint George,US,42.64,37.1041,-113.5841,Best Western Plus Abbey Inn
182,Mahon,ES,46.96,39.8885,4.2658,ARTIEM Capri
187,Ribeira Grande,PT,58.39,38.5167,-28.7,Quinta da Meia Eira
194,Licata,IT,46.54,37.1071,13.9461,Villa Giuliana
213,Rancho Palos Verdes,US,55.53,33.7445,-118.387,Terranea Resort
220,Ancud,CL,57.42,-41.8697,-73.8203,Hotel Arena Gruesa
237,Laguna,US,53.89,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
239,San Patricio,US,44.46,28.017,-97.5169,"Motel 6 Sinton, TX"
244,Kiryat Gat,IL,55.4,31.61,34.7642,OlusHome
246,Margate,GB,40.75,51.3813,1.3862,Premier Inn Margate hotel
249,Lompoc,US,53.13,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
258,Muroto-misakicho,JP,48.24,33.2833,134.15,Oota Ryokan
266,Tigzirt,DZ,56.3,36.8886,4.1198,Bloc D tazoumbirt (amar)
270,Londiani,KE,53.58,-0.165,35.5909,Travellers hotel and butchery londiani
