City_ID,City,Lat,Lng,Max Temp,Humidity,Clouds,Wind,Country,Date
0,Vaini,-21.2,-175.2,86.16,79,75,11.5,TO,1645755901
1,North Las Vegas,36.1989,-115.1175,49.42,24,0,8.05,US,1645755775
2,Kapaa,22.0752,-159.319,79.12,68,20,13.8,US,1645755902
3,Joshīmath,30.5667,79.5667,36.34,77,84,5.91,IN,1645755902
4,Camargo,27.6667,-105.1667,68.67,6,35,14.9,MX,1645755750
5,Bambous Virieux,-20.3428,57.7575,77.25,88,40,3.44,MU,1645755903
6,Chui,-33.6971,-53.4616,70.05,89,94,9.53,UY,1645755904
7,Matagami,49.7502,-77.6328,-7.49,77,0,2.3,CA,1645755904
8,Port-Gentil,-0.7193,8.7815,81.61,78,100,8.08,GA,1645755905
9,Rikitea,-23.1203,-134.9692,79.52,66,97,2.93,PF,1645755905
10,Mataura,-46.1927,168.8643,67.48,43,1,1.34,NZ,1645755906
11,Barrow,71.2906,-156.7887,-5.78,77,100,17.27,US,1645755906
12,Ushuaia,-54.8,-68.3,47.86,93,75,9.22,AR,1645755668
13,Laas,46.6166,10.7002,36.86,88,18,4.47,IT,1645755907
14,Tuktoyaktuk,69.4541,-133.0374,-18.4,76,20,8.05,CA,1645755907
15,Kaitangata,-46.2817,169.8464,63.93,77,0,6.31,NZ,1645755907
16,Jasper,37.2001,-94.3502,23.27,84,100,14.97,US,1645755908
17,Punta Arenas,-53.15,-70.9167,53.71,76,0,9.22,CL,1645755855
18,Batagay-Alyta,67.8006,130.4114,5.77,91,100,10.27,RU,1645755909
19,Poum,-20.2333,164.0167,82.69,75,68,12.95,NC,1645755909
20,Naliya,23.2667,68.8333,66.88,69,0,5.59,IN,1645755910
21,Camaná,-16.6228,-72.7111,72.5,86,92,7.11,PE,1645755910
22,Ahipara,-35.1667,173.1667,68.83,76,65,3.62,NZ,1645755910
23,Norman Wells,65.282,-126.8329,10.44,85,75,2.3,CA,1645755911
24,Torbay,47.6666,-52.7314,22.57,82,100,17.27,CA,1645755911
25,Hermanus,-34.4187,19.2345,69.8,88,99,11.72,ZA,1645755911
26,Ankang,32.68,109.0172,51.48,45,69,0.51,CN,1645755912
27,Sokoni,-6.4333,39.55,81.46,79,100,9.53,TZ,1645755912
28,Castro,-24.7911,-50.0119,65.82,93,13,3.51,BR,1645755870
29,Todos Santos,23.45,-110.2167,71.01,85,9,6.62,MX,1645755913
30,Hambantota,6.1241,81.1185,77.34,94,20,9.22,LK,1645755913
31,Butaritari,3.0707,172.7902,82.22,77,67,19.04,KI,1645755914
32,São Filipe,14.8961,-24.4956,70.39,76,7,11.92,CV,1645755914
33,Paide,58.8856,25.5572,35.89,83,100,13.0,EE,1645755915
34,Aklavik,68.2191,-135.0107,5.83,100,90,6.87,CA,1645755915
35,Hong Kong,22.2855,114.1577,62.26,77,47,4.0,HK,1645755915
36,Jamestown,42.097,-79.2353,31.32,48,100,10.36,US,1645755916
37,Polis,35.0367,32.4264,53.42,91,90,8.46,CY,1645755916
38,Fortuna,40.5982,-124.1573,47.19,76,75,3.78,US,1645755916
39,Faanui,-16.4833,-151.75,81.3,74,11,12.37,PF,1645755917
40,Smidovich,48.6,133.8167,19.33,88,77,9.86,RU,1645755917
41,Atuona,-9.8,-139.0333,78.84,76,13,19.84,PF,1645755918
42,Saint Paul Harbor,57.79,-152.4072,42.31,87,100,18.41,US,1645755918
43,Haifa,32.8156,34.9892,53.2,93,49,1.01,IL,1645755919
44,Clyde River,70.4692,-68.5914,-16.37,76,100,20.71,CA,1645755919
45,Chokurdakh,70.6333,147.9167,-4.77,89,100,12.55,RU,1645755919
46,Khatanga,71.9667,102.5,-22.02,100,39,2.86,RU,1645755920
47,Banjar,-8.19,114.9675,85.91,74,98,4.09,ID,1645755920
48,Hobart,-42.8794,147.3294,66.02,61,75,12.66,AU,1645755921
